10:2:44  [SYSTEM] **Standart Control**
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 53; Y: 13
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 52; Y: 13
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 51; Y: 13
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 50; Y: 13
10:3:5  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 49; Y: 13
10:3:5  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 14
10:3:6  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 15
10:3:6  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 16
10:3:6  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 17
10:3:6  [HERO MOVE] Hero moved Down. New coordinates of Hero: X: 49; Y: 18
10:3:6  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 48; Y: 18
10:3:6  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 47; Y: 18
10:3:6  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 46; Y: 18
10:3:6  [EVENT] Hero got plus one XP.
10:3:6  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 45; Y: 18
10:3:7  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 44; Y: 18
10:3:7  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 43; Y: 18
10:3:7  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 43; Y: 17
10:3:7  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 42; Y: 17
10:3:7  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 41; Y: 17
10:3:7  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 40; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 39; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 38; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 37; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 36; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 35; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 34; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 33; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 32; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 31; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 30; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 29; Y: 17
10:3:8  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 28; Y: 17
10:3:9  [HERO MOVE] Hero moved Left. New coordinates of Hero: X: 27; Y: 17
10:3:9  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 16
10:3:9  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 15
10:3:9  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 14
10:3:9  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 13
10:3:10  [EVENT] Hero was healed by Healing.
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 12
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 11
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 10
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 9
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 8
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 7
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 6
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 5
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 4
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 3
10:3:10  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 2
10:3:11  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 1
10:3:11  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 0
10:3:11  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 23
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 22
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 21
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 20
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 19
10:3:12  [EVENT] Hero got plus one XP.
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 18
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 17
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 16
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 15
10:3:12  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 14
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 13
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 12
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 11
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 10
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 9
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 8
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 7
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 6
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 5
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 4
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 3
10:3:13  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 2
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 1
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 0
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 23
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 22
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 21
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 20
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 19
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 18
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 17
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 16
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 15
10:3:14  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 14
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 13
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 12
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 11
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 10
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 9
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 8
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 7
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 6
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 5
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 4
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 3
10:3:15  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 2
10:3:16  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 1
10:3:16  [HERO MOVE] Hero moved Up. New coordinates of Hero: X: 27; Y: 0
